TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Sender Account,Receiver Account,Sender Country,Receiver Country,Sender Currency,Receiver Currency,Account Status,Invalid Pin Status,Invalid pin retry limits,Invalid pin retry count
TX000001,AC00886,1229.04,17/08/2023 12:55,Credit,Austin,D000345,46.69.138.33,M020,ATM,63,Teacher,60,3,12241.06,NaN/NaN/NaN NaN:NaN,SA001745,RA003130,Italy,France,AUD,AUD,Active,Locked,3,2
TX000002,AC00809,546.65,07/11/2023 10:32,Withdrawal,Los Angeles,D000593,169.93.230.192,M041,ATM,72,Student,71,1,31186.70,26/04/2023 02:03,SA006814,RA006591,Germany,France,AUD,USD,Active,Invalid,3,2
TX000003,AC00262,2803.81,16/05/2024 06:33,Withdrawal,New York,D000743,234.207.36.205,M065,Branch,49,Lawyer,182,3,43374.84,NaN/NaN/NaN NaN:NaN,SA004488,RA007596,Australia,France,AUD,EUR,Active,Invalid,3,0
TX000004,AC00725,2871.02,24/07/2023 02:39,Transfer,Boston,D000712,47.39.12.193,M053,Branch,40,Analyst,29,3,14968.49,NaN/NaN/NaN NaN:NaN,SA007051,RA000471,Germany,USA,EUR,GBP,Suspended,Valid,3,2
TX000005,AC00804,1271.12,29/01/2023 16:08,Credit,San Diego,D000034,148.234.5.84,M096,Branch,30,Accountant,66,3,18504.53,NaN/NaN/NaN NaN:NaN,SA009635,RA002032,Germany,Australia,USD,CAD,Inactive,Invalid,3,2
TX000006,AC00315,1772.69,23/06/2023 01:42,Withdrawal,New York,D000103,14.78.139.212,M095,Mobile,27,Architect,172,1,17708.15,NaN/NaN/NaN NaN:NaN,SA004948,RA000646,Belgium,Belgium,CAD,AUD,Active,Locked,3,2
TX000007,AC00227,1392.11,28/12/2024 20:00,Credit,Boston,D000130,177.49.163.74,M068,Mobile,44,Designer,72,5,46594.92,NaN/NaN/NaN NaN:NaN,SA008569,RA009651,UK,Germany,USD,AUD,Flagged,Valid,3,3
TX000008,AC00447,2118.22,07/02/2024 13:46,Withdrawal,Austin,D000665,38.85.178.69,M067,POS,32,Analyst,153,1,24178.79,15/02/2024 08:20,SA009650,RA009288,Netherlands,Spain,GBP,CAD,Suspended,Valid,3,0
TX000009,AC00995,3837.63,17/10/2023 15:05,Credit,New York,D000813,255.63.76.14,M006,Mobile,51,Lawyer,19,2,15844.08,NaN/NaN/NaN NaN:NaN,SA001647,RA000453,Canada,Canada,USD,GBP,Flagged,Invalid,3,2
TX000010,AC00929,4064.89,09/12/2023 06:49,Debit,Mesa,D000903,34.56.201.114,M063,ATM,69,Student,21,2,15647.17,12/03/2023 22:13,SA003700,RA008010,Italy,France,GBP,AUD,Suspended,Locked,3,1
